arabic_word,meaning_korean,meaning_primary,example_sentence,sentence_meaning,chapter,root,verb_form,pattern,level,source
طَبَخَ,,요리하다,طَبَخَتْ أُمِّي الْعَشَاءَ. ,어머니께서 저녁을 요리하셨다.,,ط-ب-خ,1,فَعَلَ,2,verb_forms
طَبَقَ,,일치하다,طَبَقَ الْقَانُونُ عَلَى الْجَمِيعِ.,법은 모든 사람에게 적용된다.,,ط-ب-ق,1,فَعَلَ,2,verb_forms
طَرَتَ,,자수하다,طَرَتْ الفتاةُ الثوبَ بالورودِ.‎,소녀는 옷에 꽃으로 수를 놓았다.,,ط-ر-ت,1,فَعَلَ,2,verb_forms
طَرَقَ,,두드리다,طَرَقَ الْبَابَ.,그는 문을 두드렸다.,,ط-ر-ق,1,فَعَلَ,2,verb_forms
طَعَمَ,,맛보다,طَعَمَ الرَّجُلُ الطَّعَامَ. ,그 남자는 음식을 맛보았다.,,ط-ع-م,1,فَعَلَ,2,verb_forms
طَقَسَ,,날씨를 살피다,طَقَسَ الرَّجُلُ الْجَوَّ.,그 남자는 날씨를 살폈다.,,ط-ق-س,1,فَعَلَ,2,verb_forms
طَلَبَ,,요구하다,طَلَبَ الطَّالِبُ الْكِتَابَ مِنَ الْمَكْتَبَةِ.,학생은 도서관에서 책을 요구했다.,,ط-ل-ب,1,فَعَلَ,2,verb_forms
طَمَنَ,,안심시키다,طَمَنَ الْأَبُ ابْنَهُ الْخَائِفَ. (Ṭam'ana al-abu ibnahu al-khā'if),아버지는 겁먹은 아들을 안심시켰다.,,ط-م-ن,1,فَعَلَ,2,verb_forms
ظَءَفَ,,괴롭히다,ظَأَفَ الظَّالِمُ الْمَظْلُومَ,억압자가 피억압자를 괴롭혔다.,,ظ-ء-ف,1,فَعَلَ,2,verb_forms
ظَفَتَ,,이겼다,ظَفَتْ فَاطِمَةُ بِالْجَائِزَةِ.,파티마는 상을 탔다.,,ظ-ف-ت,1,فَعَلَ,2,verb_forms
ظَلَتَ,,머무르다,ظَلَتِ الشَّمْسُ سَاطِعَةً.,태양은 계속 빛나고 있었다.,,ظ-ل-ت,1,فَعَلَ,2,verb_forms
ظَلَمَ,,억압하다,ظَلَمَ الْحَاكِمُ شَعْبَهُ.,통치자가 그의 백성을 억압했다.,,ظ-ل-م,1,فَعَلَ,2,verb_forms
ظَهَرَ,,나타나다,ظَهَرَ الْحَقُّ. ,진실이 드러났다.,,ظ-ه-ر,1,فَعَلَ,2,verb_forms
عَءَلَ,,돌아오다,عَالَ الْأَمْرُ إِلَى صَوَابِهِ.,일이 올바른 방향으로 돌아왔다.,,ع-ء-ل,1,فَعَلَ,2,verb_forms
عَبَرَ,,건너다,عَبَرَ الْجِسْرَ (ʿabara al-jisra),그는 다리를 건넜다.,,ع-ب-ر,1,فَعَلَ,2,verb_forms
عَتَبَ,,비난하다,عَتَبَ الصَّدِيقُ صَدِيقَهُ عَلَى تَأْخِيرِهِ.,친구가 그의 늦음에 대해 친구를 비난했다.,,ع-ت-ب,1,فَعَلَ,2,verb_forms
عَتَدَ,,준비하다,عَتَدَ الجُنْدِيُّ سِلاحَهُ لِلْمَعْرَكَةِ.,군인은 전투를 위해 무기를 준비했다.,,ع-ت-د,1,فَعَلَ,2,verb_forms
عَتَقَ,,해방하다,عَتَقَ الرَّجُلُ عَبْدَهُ.,그 남자는 그의 노예를 해방했다.,,ع-ت-ق,1,فَعَلَ,2,verb_forms
عَتَمَ,,어두워지다,عَتَمَ اللَّيْلُ,밤이 어두워졌다.,,ع-ت-م,1,فَعَلَ,2,verb_forms
عَثَرَ,,넘어지다,عَثَرَ الوَلَدُ بِالحَجَرِ.,아이가 돌에 걸려 넘어졌다.,,ع-ث-ر,1,فَعَلَ,2,verb_forms
عَجَبَ,,놀라다,عَجِبْتُ مِنْ صِدْقِهِ.,나는 그의 정직함에 놀랐다.,,ع-ج-ب,1,فَعَلَ,2,verb_forms
عَدَدَ,,세다,عَدَدْتُ النُّجُومَ فِي السَّمَاءِ. (ʿadadtu an-nujūma fī as-samāʾi.),나는 하늘의 별들을 셌다.,,ع-د-د,1,فَعَلَ,2,verb_forms
عَرَبَ,,아랍화하다,عَرَّبَ الكِتَابَ.,그는 책을 아랍어로 번역했다.,,ع-ر-ب,1,فَعَلَ,2,verb_forms
عَرَتَ,,일어나다,عَرَتْهُمْ مُصِيبَةٌ كَبِيرَةٌ.,그들에게 큰 재앙이 닥쳤다.,,ع-ر-ت,1,فَعَلَ,2,verb_forms
عَرَجَ,,절뚝거리다,عَرَجَ الرَّجُلُ فِي الطَّرِيقِ,그 남자는 길에서 절뚝거렸다.,,ع-ر-ج,1,فَعَلَ,2,verb_forms
عَرَسَ,,결혼하다,عَرَسَ الرَّجُلُ بِالْمَرْأَةِ.‎,남자가 여자와 결혼했다.,,ع-ر-س,1,فَعَلَ,2,verb_forms
عَرَفَ,,알다,عَرَفْتُ الحَقِيقَةَ (ʿaraftu al-ḥaqīqata),나는 진실을 알았다.,,ع-ر-ف,1,فَعَلَ,2,verb_forms
عَرَقَ,,땀 흘리다,عَرِقَ الْعَامِلُ فِي الْحَقْلِ.,일꾼은 밭에서 땀을 흘렸다.,,ع-ر-ق,1,فَعَلَ,2,verb_forms
عَشَءَ,,저녁 식사,عَشَءَ مُحَمَّدٌ فِي الْمَطْعَمِ.,무함마드는 식당에서 저녁 식사를 했다.,,ع-ش-ء,1,فَعَلَ,2,verb_forms
عَشَرَ,,십분지 일로 나누다,عَشَرَ الزَّرْعَ,그는 농작물을 십일조로 바쳤다.,,ع-ش-ر,1,فَعَلَ,2,verb_forms
عَصَمَ,,보호하다,عَصَمَ اللهُ الْمُؤْمِنِينَ مِنَ الشَّرِّ. ,알라께서 신자들을 악으로부터 보호하셨다.,,ع-ص-م,1,فَعَلَ,2,verb_forms
عَضَهَ,,물다,عَضَّ الكَلْبُ الصَّبِيَّ.,개가 아이를 물었다.,,ع-ض-ه,1,فَعَلَ,2,verb_forms
عَطَتَ,,주다,عَطَتْهُ الْكِتَابَ.,그녀는 그에게 책을 주었다.,,ع-ط-ت,1,فَعَلَ,2,verb_forms
عَطَلَ,,중단하다,عَطَلَ الْمُوَظَّفُ الآلَةَ.,직원이 기계를 고장냈다.,,ع-ط-ل,1,فَعَلَ,2,verb_forms
عَقَبَ,,뒤따르다,عَقَبَ الْمَطَرُ الْجَفَافَ. ,비가 가뭄을 뒤따랐다. (가뭄 후에 비가 왔다.),,ع-ق-ب,1,فَعَلَ,2,verb_forms
عَقَلَ,,이해하다,عَقَلَ الرَّجُلُ الْحَقِيقَةَ. ,그 남자는 진실을 이해했다.,,ع-ق-ل,1,فَعَلَ,2,verb_forms
عَلَقَ,,매달다,عَلَقَ الْمُعَلِّمُ الصُّورَةَ عَلَى الْجِدَارِ.,선생님이 사진을 벽에 걸었다.,,ع-ل-ق,1,فَعَلَ,2,verb_forms
عَلَمَ,,알다,عَلِمْتُ الْحَقِيقَةَ.,나는 진실을 알았다.,,ع-ل-م,1,فَعَلَ,2,verb_forms
عَلَنَ,,드러내다,أَعْلَنَ الرَّئِيسُ عَنِ الْقَرَارِ. (ʾaʿlana al-raʾīsu ʿani al-qarāri.),대통령이 결정을 발표했다.,,ع-ل-ن,1,فَعَلَ,2,verb_forms
عَلََ,,알다,عَلِمْتُ الحَقِيقَةَ.,나는 진실을 알았다.,,ع-ل-,1,فَعَلَ,2,verb_forms
عَمَرَ,,건설하다,عَمَرُوا الْأَرْضَ بِالزِّرَاعَةِ.‎,그들은 농업으로 땅을 개간했다.,,ع-م-ر,1,فَعَلَ,2,verb_forms
عَمَلَ,,일하다,عَمَلَ الوَلَدُ بِجِدٍّ.,그 소년은 열심히 일했다.,,ع-م-ل,1,فَعَلَ,2,verb_forms
عَمَنَ,,눈이 멀다,عَمِيَ الرَّجُلُ بَعْدَ الحَادِثِ.,그 남자는 사고 후에 눈이 멀었다.,,ع-م-ن,1,فَعَلَ,2,verb_forms
عَنَتَ,,굴복하다,عَنَتِ الْوُجُوهُ لِلْحَيِّ الْقَيُّومِ,얼굴들이 영원히 살아계신 분께 굴복했다.,,ع-ن-ت,1,فَعَلَ,2,verb_forms
عَنَدَ,,고집하다,عَنَدَ الظَّالِمُ الحقَّ.‎,그 압제자는 진실을 고집스럽게 거부했다.,,ع-ن-د,1,فَعَلَ,2,verb_forms
عَنَهَ,,괴롭히다,عَنَاهُ الْمَرَضُ.,병이 그를 괴롭혔다.,,ع-ن-ه,1,فَعَلَ,2,verb_forms
غَرَبَ,,지다,غَرَبَتِ الشَّمْسُ.,해가 졌다.,,غ-ر-ب,1,فَعَلَ,2,verb_forms
غَرَفَ,,뜨다,غَرَفَ الْوَلَدُ الْمَاءَ بِالْكُوبِ,소년은 컵으로 물을 떴다.,,غ-ر-ف,1,فَعَلَ,2,verb_forms
غَسَلَ,,씻다,غَسَلْتُ الْيَدَ,나는 손을 씻었다.,,غ-س-ل,1,فَعَلَ,2,verb_forms
غَضَبَ,,분노하다,غَضِبَ الرَّجُلُ.,그 남자는 분노했다.,,غ-ض-ب,1,فَعَلَ,2,verb_forms
غَلَقَ,,닫다,غَلَقَ الْبَابَ (ghalaqa al-bāba),그는 문을 닫았다.,,غ-ل-ق,1,فَعَلَ,2,verb_forms
غَنَءَ,,풍족하다,غَنَأَ الرَّجُلُ بَعْدَ فَقْرٍ شَدِيدٍ.,그 남자는 극심한 가난 후에 부유해졌다.,,غ-ن-ء,1,فَعَلَ,2,verb_forms
فَتَتَ,,부수다,فَتَتَ الْخُبْزَ.‎,그는 빵을 부쉈다.,,ف-ت-ت,1,فَعَلَ,2,verb_forms
فَتَحَ,,열다,فَتَحَ الْبَابَ (fataḥa al-bāba),그는 문을 열었다.,,ف-ت-ح,1,فَعَلَ,2,verb_forms
فَتَرَ,,약해지다,فَتَرَ الحَمَاسُ بَعْدَ مُرُورِ وَقْتٍ طَوِيلٍ.‎,오랜 시간이 지난 후 열정이 식었다.,,ف-ت-ر,1,فَعَلَ,2,verb_forms
فَدَتَ,,구속하다,فَدَتِ الأمُّ ابْنَهَا بِرُوحِهَا.,어머니는 자신의 영혼으로 아들을 구속했다.,,ف-د-ت,1,فَعَلَ,2,verb_forms
فَرَحَ,,기뻐하다,فَرِحَ الطِّفْلُ بِالْهِدْيَةِ.,아이가 선물에 기뻐했다.,,ف-ر-ح,1,فَعَلَ,2,verb_forms
فَرَدَ,,분리하다,فَرَدَ الْوَرَقَةَ عَلَى الْمَكْتَبِ.,그는 종이를 책상 위에 펼쳤다.,,ف-ر-د,1,فَعَلَ,2,verb_forms
فَرَشَ,,펼치다,فَرَشَ السَّجَّادَ عَلَى الأَرْضِ.,그는 바닥에 카펫을 펼쳤다.,,ف-ر-ش,1,فَعَلَ,2,verb_forms
فَرَصَ,,기회를 얻다,فَرَصَ لَهُ فُرْصَةٌ ذَهَبِيَّةٌ (furaṣa lahu furṣatun dhahabiyyatun),그에게 황금 같은 기회가 주어졌다.,,ف-ر-ص,1,فَعَلَ,2,verb_forms
فَرَقَ,,나누다,فَرَقَ الْمُعَلِّمُ الْأَوْرَاقَ.,선생님은 종이들을 나눴다.,,ف-ر-ق,1,فَعَلَ,2,verb_forms
فَسَدَ,,부패하다,فَسَدَ الطَّعَامُ فِي الْحَرِّ.,음식이 더위 속에서 상했다.,,ف-س-د,1,فَعَلَ,2,verb_forms
فَسَرَ,,설명하다,فَسَرَ الْمُعَلِّمُ الدَّرْسَ.,선생님이 수업을 설명했다.,,ف-س-ر,1,فَعَلَ,2,verb_forms
فَسَهَ,,탈수하다,فَسَهَ الْحِنْطَةَ,그는 밀을 탈수했다.,,ف-س-ه,1,فَعَلَ,2,verb_forms
فَصَلَ,,분리하다,فَصَلَ الْمُدِيرُ الْمُوَظَّفَ. ,이사(경영자)가 직원을 해고했다.,,ف-ص-ل,1,فَعَلَ,2,verb_forms
فَضَلَ,,선호하다,فَضَّلَ عَلِيٌّ الشَّايَ عَلَى القَهْوَةِ.,알리는 커피보다 차를 선호했다.,,ف-ض-ل,1,فَعَلَ,2,verb_forms
فَطَرَ,,창조하다,فَطَرَ ٱللَّهُ ٱلسَّمَٰوَٰتِ وَٱلْأَرْضَ,알라는 하늘과 땅을 창조하셨다.,,ف-ط-ر,1,فَعَلَ,2,verb_forms
فَكَرَ,,생각하다,فَكَّرَ الْوَلَدُ فِي الْمُشْكِلَةِ. (Fakkara al-waladu fil-mushkilati.),그 아이는 문제에 대해 생각했다.,,ف-ك-ر,1,فَعَلَ,2,verb_forms
فَنَدَ,,반박하다,فَنَدَ الْمُحَامِي ادِّعَاءَاتِ الشَّاهِدِ.,변호사는 증인의 주장을 반박했다.,,ف-ن-د,1,فَعَلَ,2,verb_forms
فَهَمَ,,이해하다,فَهِمْتُ الدَّرْسَ. (fahimtu ad-darsa),나는 수업을 이해했다.,,ف-ه-م,1,فَعَلَ,2,verb_forms
قَءَدَ,,앉다,قَعَدَ الرَّجُلُ عَلَى الكُرْسِيِّ. (qa'ada al-rajulu 'ala al-kursiyyi.),남자가 의자에 앉았다.,,ق-ء-د,1,فَعَلَ,2,verb_forms
قَبَلَ,,받아들이다,قَبِلَ الْهَدِيَّةَ.‎,그는 선물을 받았다.,,ق-ب-ل,1,فَعَلَ,2,verb_forms
قَتَلَ,,죽이다,قَتَلَ الْجُنْدِيُّ الْعَدُوَّ.‎,군인이 적을 죽였다.,,ق-ت-ل,1,فَعَلَ,2,verb_forms
قَدَرَ,,능력 있다,قَدَرَ اللهُ الْأَمْرَ (Qadara Allahu al-amra),알라께서 그 일을 결정하셨다.,,ق-د-ر,1,فَعَلَ,2,verb_forms
قَدَسَ,,신성하게 하다,قَدَّسَ اللهُ الأَرْضَ المُبَارَكَةَ. (Qaddasa Allahu al-arda al-mubarakah.),알라께서 축복받은 땅을 신성하게 하셨다.,,ق-د-س,1,فَعَلَ,2,verb_forms
قَدَمَ,,제공하다,قَدَّمَ الْوَلَدُ هَدِيَّةً لأُمِّهِ.‎,아이가 엄마에게 선물을 제공했다.,,ق-د-م,1,فَعَلَ,2,verb_forms
قَرَءَ,,읽다,قَرَأَ الْوَلَدُ الْكِتَابَ. ,소년은 책을 읽었다.,,ق-ر-ء,1,فَعَلَ,2,verb_forms
قَرَبَ,,가까워지다,قَرَبَ الْوَقْتُ. (qaraba al-waqtu.),시간이 가까워졌다. (시간이 임박했다.),,ق-ر-ب,1,فَعَلَ,2,verb_forms
قَرَتَ,,머물다,قَرَتِ الْأُسْرَةُ فِي الْقَرْيَةِ.,가족은 마을에 정착했다.,,ق-ر-ت,1,فَعَلَ,2,verb_forms
قَرَرَ,,결정하다,قررتُ السفرَ إلى مصرَ. (Qarartu as-safara ila Misr),나는 이집트로 여행하기로 결정했다.,,ق-ر-ر,1,فَعَلَ,2,verb_forms
قَسَمَ,,나누다,قَسَمَ الرَّجُلُ التُّرَاثَ بَيْنَ أَبْنَائِهِ.‎,남자는 유산을 그의 아들들 사이에 나누었다.,,ق-س-م,1,فَعَلَ,2,verb_forms
قَصَرَ,,줄이다,قَصَرَ الثَّوْبَ.,그는 옷감을 줄였다.,,ق-ص-ر,1,فَعَلَ,2,verb_forms
قَطَعَ,,자르다,قَطَعَ الْحَطَّابُ الشَّجَرَةَ. ,나뭇꾼이 나무를 잘랐다.,,ق-ط-ع,1,فَعَلَ,2,verb_forms
قَظَتَ,,구역질하다,قَظَتَ المَرِيضُ بَعْدَ الأَكْلِ.,환자는 식사 후에 구역질을 했다.,,ق-ظ-ت,1,فَعَلَ,2,verb_forms
قَعَدَ,,앉다,قَعَدَ الرَّجُلُ عَلَى الكُرْسِيِّ. (qaʿada al-rajulu ʿala al-kursiyyi.),남자가 의자에 앉았다.,,ق-ع-د,1,فَعَلَ,2,verb_forms
قَلَقَ,,불안하다,قَلَقَ الرَّجُلُ مِنْ نَتِيجَةِ الِامْتِحَانِ.,그 남자는 시험 결과 때문에 불안해했다.,,ق-ل-ق,1,فَعَلَ,2,verb_forms
قَلَمَ,,다듬다,قَلَمَ النَّجَّارُ الْقَلَمَ بِالمِقْرَاضِ.,목수는 가위로 펜을 다듬었다.,,ق-ل-م,1,فَعَلَ,2,verb_forms
قَمَتَ,,일어서다,قَمَتِ ٱلْمَرْأَةُ فَجْأَةً مِنَ ٱلْكُرْسِيِّ,여자가 갑자기 의자에서 일어섰다.,,ق-م-ت,1,فَعَلَ,2,verb_forms
قَوَلَ,,말하다,قَوَلَ الرَّجُلُ كَلَامًا جَمِيلاً لِلْفَتَاةِ.,그 남자는 소녀에게 아름다운 말을 했다.,,ق-و-ل,1,فَعَلَ,2,verb_forms
قَوَيَ,,강해지다,قَوَى العَظْمُ بَعْدَ الكَسْرِ,뼈가 부러진 후 강해졌다.,,ق-و-ي,1,فَعَلَ,2,verb_forms
كَبَرَ,,커지다,كَبُرَ الوَلَدُ سَريعًا في السَّنَةِ الماضِيَةِ.,그 아이는 작년에 빠르게 자랐다.,,ك-ب-ر,1,فَعَلَ,2,verb_forms
كَتَسَ,,입다,كَتَسَ الرَّجُلُ الْقَمِيصَ الْجَدِيدَ.,남자가 새 셔츠를 입었다.,,ك-ت-س,1,فَعَلَ,2,verb_forms
كَحَلَ,,눈에 연지를 바르다,كَحَلَتِ الْمَرْأَةُ عَيْنَيْهَا بِالكُحْلِ.,여자가 눈에 연지를 발랐다.,,ك-ح-ل,1,فَعَلَ,2,verb_forms
كَرَةَ,,싫어하다,كَرِهْتُ رُؤْيَةَ تِلْكَ الصُّورَةِ القَبيحَةِ.,나는 그 보기 흉한 사진을 보는 것을 싫어했다.,,ك-ر-ة,1,فَعَلَ,2,verb_forms
كَرَسَ,,헌신하다,كَرَسَ الْمُؤْمِنُ حَيَاتَهُ لِلْإِسْلَامِ,신자는 그의 삶을 이슬람에 헌신했다,,ك-ر-س,1,فَعَلَ,2,verb_forms
كَسَرَ,,깨다,كَسَرَ الوَلَدُ الزُّجَاجَ بِالحَجَرِ.,아이가 돌로 유리를 깼다.,,ك-س-ر,1,فَعَلَ,2,verb_forms
كَشَرَ,,드러내다,كَشَرَ الكَلْبُ فِي وَجْهِهِ بِشِدَّةٍ.,개가 그의 얼굴에 심하게 이를 드러냈다.,,ك-ش-ر,1,فَعَلَ,2,verb_forms
كَلَبَ,,짖다,كَلَبَ الْكَلْبُ فِي اللَّيْلِ.,개가 밤에 짖었다.,,ك-ل-ب,1,فَعَلَ,2,verb_forms
كَلَمَ,,말하다,كَلَمَهُ الرَّجُلُ بِغَضَبٍ,그 남자는 분노하며 그에게 말했다.,,ك-ل-م,1,فَعَلَ,2,verb_forms
كَمَءَ,,숨기다,كَمَءَ الشَّيْءَ عَنِ النَّاسِ,그는 사람들에게 그것을 숨겼다.,,ك-م-ء,1,فَعَلَ,2,verb_forms
كَمَلَ,,완료되다,كَمَلَ الْبِنَاءُ.,건물이 완공되었다.,,ك-م-ل,1,فَعَلَ,2,verb_forms
كَنَتَ,,이었다,كَانَتْ ٱلسَّمَاءُ صَافِيَةً.,하늘은 맑았다.,,ك-ن-ت,1,فَعَلَ,2,verb_forms
كَوَنَ,,존재하다,كَانَ الْجَوُّ جَمِيلًا.‎,날씨가 좋았다.,,ك-و-ن,1,فَعَلَ,2,verb_forms
لَتَدَ,,때리다,لَتَدَنَّ الْكَذَّابَةَ! (latadanna al-kadhdhābah!),너는 반드시 그 거짓말쟁이 여자를 때릴 것이다!,,ل-ت-د,1,فَعَلَ,2,verb_forms
لَتَفَ,,돌아보다,لَتَفَ إِلَى الْيَمِينِ. ,그는 오른쪽으로 돌아봤다.,,ل-ت-ف,1,فَعَلَ,2,verb_forms
لَجَدَ,,고삐를 당기다,لَجَدَ الْفَرَسَ لِيُسْرِعَ.‎,그는 말을 더 빨리 달리게 하려고 고삐를 당겼다.,,ل-ج-د,1,فَعَلَ,2,verb_forms
لَحَصَ,,핥다,لَحَصَ الْكَلْبُ الْعَظْمَ.,개가 뼈를 핥았다.,,ل-ح-ص,1,فَعَلَ,2,verb_forms
لَحَفَ,,덮다,لَحَفَ الْوَلَدَ بِالْبِطَانِيَّةِ.‎,아이가 담요로 덮었다.,,ل-ح-ف,1,فَعَلَ,2,verb_forms
لَدَرَ,,채찍질하다,لَدَرَ الْجَلَّادُ الْمُتَّهَمَ بِالسَّوْطِ.,사형 집행인이 채찍으로 피고인을 채찍질했다.,,ل-د-ر,1,فَعَلَ,2,verb_forms
لَذَنَ,,들러붙다,لَذَنَ الطِّينُ بِالْحِذَاءِ,진흙이 신발에 들러붙었다.,,ل-ذ-ن,1,فَعَلَ,2,verb_forms
لَسَنَ,,말하다,لَسَنَ الرَّجُلُ بِالفُصْحَى,그 남자는 유창하게 말했다.,,ل-س-ن,1,فَعَلَ,2,verb_forms
لَصَفَ,,붙이다,لَصَفَ الصُّورَةَ عَلَى الْجِدَارِ.,그는 사진을 벽에 붙였다.,,ل-ص-ف,1,فَعَلَ,2,verb_forms
لَضَفَ,,압박하다,لَضَفَ الرَّجُلُ الصُّنْدُوقَ.,그 남자는 상자를 압박했다.,,ل-ض-ف,1,فَعَلَ,2,verb_forms
لَطَرَ,,때리다,لَطَرَهُ عَلَى وَجْهِهِ (Laṭarahu ʿalā wajhihi),그는 그의 얼굴을 때렸다.,,ل-ط-ر,1,فَعَلَ,2,verb_forms
لَعَبَ,,놀다,لَعِبَ الْوَلَدُ بِالْكُرَةِ.,소년은 공을 가지고 놀았다.,,ل-ع-ب,1,فَعَلَ,2,verb_forms
لَعَلَ,,희망하다,لَعَلَّ اللَّهَ يُحْدِثُ بَعْدَ ذَٰلِكَ أَمْرًا,아마도 하나님께서 그 후에 일을 일으키실 것이다.,,ل-ع-ل,1,فَعَلَ,2,verb_forms
لَغَرَ,,잘못 말하다,لَغَرَ الصَّبِيُّ كَلَامًا غَيْرَ مَفْهُومٍ.,아이가 이해할 수 없는 말을 중얼거렸다.,,ل-غ-ر,1,فَعَلَ,2,verb_forms
لَمَبَ,,핥다,لَمَبَ الكَلْبُ يَدَهُ.,개가 그의 손을 핥았다.,,ل-م-ب,1,فَعَلَ,2,verb_forms
لَمَتَ,,비난하다,لَمَتْهُ أُمُّهُ عَلَى تَأْخِيرِهِ. ,그의 어머니는 그의 늦음에 대해 그를 비난했다.,,ل-م-ت,1,فَعَلَ,2,verb_forms
لَنَصَ,,구출하다,لَنَصَرْنَا الْمَظْلُومَ (lanasarnā al-maẓlūma),우리는 반드시 억압받는 자를 도왔다.,,ل-ن-ص,1,فَعَلَ,2,verb_forms
لَهَمَ,,집어삼키다,لَهَمَ الْحَرِيقُ الْمَنْزِلَ.,불이 집을 집어삼켰다.,,ل-ه-م,1,فَعَلَ,2,verb_forms
مَءَةَ,,오다,مَاءَ الطَّائِرُ إِلَى الْعُشِّ. ,새가 둥지로 왔다.,,م-ء-ة,1,فَعَلَ,2,verb_forms
مَءَدَ,,흔들다,مَاءَدَتِ الرِّيحُ الشَّجَرَةَ.‎,바람이 나무를 흔들었다.,,م-ء-د,1,فَعَلَ,2,verb_forms
مَبَرَ,,갈다,مَبَرَ النَّجَّارُ الْخَشَبَ.,목수는 나무를 갈았다.,,م-ب-ر,1,فَعَلَ,2,verb_forms
مَتَجَ,,흔들다,مَتَجَ الطَّاهِي الْحَسَاءَ. ,요리사는 수프를 저었다.,,م-ت-ج,1,فَعَلَ,2,verb_forms
مَتَحَ,,끌어올리다,مَتَحَ الْوَلَدُ الْمَاءَ مِنَ الْبِئْرِ.,소년은 우물에서 물을 길어 올렸다.,,م-ت-ح,1,فَعَلَ,2,verb_forms
مَتَسَ,,떨다,مَتَسَ الرَّجُلُ مِنَ الْبَرْدِ الشَّدِيدِ.,그 남자는 심한 추위로 떨었다.,,م-ت-س,1,فَعَلَ,2,verb_forms
مَتَعَ,,즐기다,مَتَعْتُ بِالْمَنْظَرِ الْجَمِيلِ.,나는 아름다운 경치를 즐겼다.,,م-ت-ع,1,فَعَلَ,2,verb_forms
مَتَقَ,,찢다,مَتَقَ اللِّصُّ الْحِقْبَةَ.,도둑이 가방을 찢었다.,,م-ت-ق,1,فَعَلَ,2,verb_forms
مَثَلَ,,닮다,مَثَلَ الْوَلَدُ أَبَاهُ فِي الْكَرَمِ.,아이는 관대함에서 그의 아버지를 닮았다.,,م-ث-ل,1,فَعَلَ,2,verb_forms
مَجَتَ,,뱉다,مَجَّتِ الْأَفْعَى سُمَّهَا. ,뱀이 독을 뱉었다.,,م-ج-ت,1,فَعَلَ,2,verb_forms
مَجَسَ,,만지다,مَجَسَ الطَّبِيبُ بَطْنَ الْمَرِيضِ.,의사는 환자의 배를 만져 보았다.,,م-ج-س,1,فَعَلَ,2,verb_forms
مَحَطَ,,지우다,مَحَطَ الكَاتِبُ الكَلِمَةَ الخَاطِئَةَ.,작가가 틀린 단어를 지웠다.,,م-ح-ط,1,فَعَلَ,2,verb_forms
مَحَمَ,,불타다,مَحَمَتِ النَّارُ الْحَطَبَ.,불이 나무를 태웠다.,,م-ح-م,1,فَعَلَ,2,verb_forms
مَدَةَ,,밀다,مَدَّ الْحَبْلَ.,그는 밧줄을 당겼다.,,م-د-ة,1,فَعَلَ,2,verb_forms
مَدَرَ,,채우다,مَدَرَ الْوِعَاءَ مَاءً.,그는 그릇을 물로 채웠다.,,م-د-ر,1,فَعَلَ,2,verb_forms
مَدَنَ,,정착하다,مَدَنَ القَوْمُ الْبِلَادَ. ,그 민족은 그 땅에 정착했다.,,م-د-ن,1,فَعَلَ,2,verb_forms
مَرَتَ,,지나가다,مَرَّ الوَقْتُ بِسُرْعَةٍ.‎,시간이 빠르게 지나갔다.,,م-ر-ت,1,فَعَلَ,2,verb_forms
مَرَسَ,,문지르다,مَرَسَ الْوَلَدُ التُّرَابَ بِيَدِهِ. ,아이가 손으로 흙을 문질렀다.,,م-ر-س,1,فَعَلَ,2,verb_forms
مَرَكَ,,미끄러지다,مَرَكَتِ السَّفِينَةُ عَلَى الْمَاءِ.‎,배가 물 위를 미끄러져 나갔다.,,م-ر-ك,1,فَعَلَ,2,verb_forms
مَسَتَ,,만지다,مَسَّتْ يَدُهُ الْحَائِطَ (massat yaduhu al-ḥā'iṭa),그의 손이 벽에 닿았다.,,م-س-ت,1,فَعَلَ,2,verb_forms
مَسَجَ,,마사지하다,مَسَجَ الطَّبِيبُ ظَهْرَ الْمَرِيضِ.‎,의사가 환자의 등을 마사지했다.,,م-س-ج,1,فَعَلَ,2,verb_forms
مَشَجَ,,혼합하다,مَشَجَ الْعَطَّارُ الْأَزْهَارَ لِيَصْنَعَ عِطْرًا جَدِيدًا.,향수 제조자는 새로운 향수를 만들기 위해 꽃들을 혼합했다.,,م-ش-ج,1,فَعَلَ,2,verb_forms
مَشَهَ,,걷다,مَشَى الرَّجُلُ فِي الشَّارِعِ.,남자가 길을 걸었다.,,م-ش-ه,1,فَعَلَ,2,verb_forms
مَصَرَ,,빨다,مَصَرَ الطِّفْلُ إِصْبَعَهُ.‎,아이가 손가락을 빨았다.,,م-ص-ر,1,فَعَلَ,2,verb_forms
مَصَطَ,,때리다,مَصَطَهُ بِالعَصَا.,그는 그를 막대기로 때렸다.,,م-ص-ط,1,فَعَلَ,2,verb_forms
مَصَنَ,,지키다,مَصَنَ الرَّجُلُ وَعْدَهُ.,그 남자는 그의 약속을 지켰다.,,م-ص-ن,1,فَعَلَ,2,verb_forms
مَطَعَ,,자르다,مَطَعَ اللَّحْمَ بِالسِّكِّينِ.,그는 칼로 고기를 잘랐다.,,م-ط-ع,1,فَعَلَ,2,verb_forms
مَظَفَ,,성공하다,مَظَفَ الْفَرِيقُ فِي الْمُبَارَاةِ.,그 팀은 경기에서 성공했다 (승리했다).,,م-ظ-ف,1,فَعَلَ,2,verb_forms
